Jahr;Ges;Name;Age_Group;Runner_Number;Place_Gender;Place_Age_Group;Place_Overall;Start_Time_of_day;Finish_Time;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time;FK_Diff;FK_min_km;FK_kmh
2013;M;Kimetto, Dennis (KEN);25-29;3;1;1;1;–;02:03:45;01:01:52;01:01:52;12:23;4.85;02:03:44;01:01:52;12:23;4.85;03:05:36;01:01:52;12:23;4.85;04:07:28;01:01:52;12:23;4.85;04:21:03;13:35;12:23;4.85;05:09:20;48:17;12:23;4.85;06:11:12;01:01:52;12:23;4.85;07:13:04;01:01:52;12:23;4.85;08:14:56;01:01:52;12:23;4.85;02:03:45;-06:11:11;-02:49:07;-0.35
2013;M;Mutai, Emannuel (KEN);25-29;5;2;2;2;–;02:03:52;01:01:53;01:01:53;12:23;4.85;02:03:46;01:01:53;12:23;4.85;03:05:39;01:01:53;12:23;4.85;04:07:32;01:01:53;12:23;4.85;04:21:07;13:35;12:23;4.85;05:09:25;48:18;12:23;4.85;06:11:18;01:01:53;12:23;4.85;07:13:11;01:01:53;12:23;4.85;08:15:04;01:01:53;12:23;4.85;02:03:52;-06:11:12;-02:49:07;-0.35
2013;M;Kitwara, Sammy (KEN);25-29;6;3;3;3;–;02:05:16;01:01:53;01:01:53;12:23;4.85;02:03:46;01:01:53;12:23;4.85;03:05:39;01:01:53;12:23;4.85;04:07:32;01:01:53;12:23;4.85;04:21:07;13:35;12:23;4.85;05:09:25;48:18;12:23;4.85;06:11:18;01:01:53;12:23;4.85;07:13:11;01:01:53;12:23;4.85;08:15:04;01:01:53;12:23;4.85;02:05:16;-06:09:48;-02:48:29;-0.36
2013;M;Kogo, Micah (KEN);25-29;12;4;4;4;–;02:06:56;01:01:53;01:01:53;12:23;4.85;02:03:46;01:01:53;12:23;4.85;03:05:39;01:01:53;12:23;4.85;04:07:32;01:01:53;12:23;4.85;04:21:07;13:35;12:23;4.85;05:09:25;48:18;12:23;4.85;06:11:18;01:01:53;12:23;4.85;07:13:11;01:01:53;12:23;4.85;08:15:04;01:01:53;12:23;4.85;02:06:56;-06:08:08;-02:47:43;-0.36
2013;M;Ritzenhein, Dathan (USA);30-34;9;5;1;5;–;02:09:45;01:03:02;01:03:02;12:37;4.76;02:06:04;01:03:02;12:37;4.76;03:09:06;01:03:02;12:37;4.76;04:12:08;01:03:02;12:37;4.76;04:25:58;13:50;12:37;4.76;05:15:10;49:12;12:37;4.76;06:18:12;01:03:02;12:37;4.76;07:21:14;01:03:02;12:37;4.76;08:24:16;01:03:02;12:37;4.76;02:09:45;-06:14:31;-02:50:38;-0.35
2013;M;Abshero, Ayele (ETH);20-24;4;6;1;6;–;02:10:10;01:01:53;01:01:53;12:23;4.85;02:03:46;01:01:53;12:23;4.85;03:05:39;01:01:53;12:23;4.85;04:07:32;01:01:53;12:23;4.85;04:21:07;13:35;12:23;4.85;05:09:25;48:18;12:23;4.85;06:11:18;01:01:53;12:23;4.85;07:13:11;01:01:53;12:23;4.85;08:15:04;01:01:53;12:23;4.85;02:10:10;-06:04:54;-02:46:15;-0.36
2013;M;Sano, Hiroaki (JPN);25-29;20;7;5;7;–;02:10:29;01:05:13;01:05:13;13:03;4.60;02:10:26;01:05:13;13:03;4.60;03:15:39;01:05:13;13:03;4.60;04:20:52;01:05:13;13:03;4.60;04:35:11;14:19;13:03;4.60;05:26:05;50:54;13:03;4.60;06:31:18;01:05:13;13:03;4.60;07:36:31;01:05:13;13:03;4.60;08:41:44;01:05:13;13:03;4.60;02:10:29;-06:31:15;-02:58:15;-0.34
2013;M;Mosop, Moses (KEN);25-29;2;8;6;8;–;02:11:19;01:01:52;01:01:52;12:23;4.85;02:03:44;01:01:52;12:23;4.85;03:05:36;01:01:52;12:23;4.85;04:07:28;01:01:52;12:23;4.85;04:21:03;13:35;12:23;4.85;05:09:20;48:17;12:23;4.85;06:11:12;01:01:52;12:23;4.85;07:13:04;01:01:52;12:23;4.85;08:14:56;01:01:52;12:23;4.85;02:11:19;-06:03:37;-02:45:40;-0.36
2013;M;Oda, Yoshinori (JPN);30-34;11;9;2;9;–;02:11:29;01:05:13;01:05:13;13:03;4.60;02:10:26;01:05:13;13:03;4.60;03:15:39;01:05:13;13:03;4.60;04:20:52;01:05:13;13:03;4.60;04:35:11;14:19;13:03;4.60;05:26:05;50:54;13:03;4.60;06:31:18;01:05:13;13:03;4.60;07:36:31;01:05:13;13:03;4.60;08:41:44;01:05:13;13:03;4.60;02:11:29;-06:30:15;-02:57:48;-0.34
2013;M;Tegenkamp, Matt (USA);30-34;14;10;3;10;–;02:12:28;01:05:14;01:05:14;13:03;4.60;02:10:28;01:05:14;13:03;4.60;03:15:42;01:05:14;13:03;4.60;04:20:56;01:05:14;13:03;4.60;04:35:15;14:19;13:03;4.60;05:26:10;50:55;13:03;4.60;06:31:24;01:05:14;13:03;4.60;07:36:38;01:05:14;13:03;4.60;08:41:52;01:05:14;13:03;4.60;02:12:28;-06:29:24;-02:57:25;-0.34
