Jahr;Ges;Name;Age_Group;Runner_Number;Place_Gender;Place_Age_Group;Place_Overall;Start_Time_of_day;Finish_Time;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time;FK_Diff;FK_min_km;FK_kmh
2010;M;Wanjiru, Sammy (KEN);20-24;1;1;1;1;–;02:06:24;00:15:03;15:03;03:01;19.93;00:29:33;14:30;02:54;20.69;00:44:31;14:58;03:00;20.04;00:59:19;14:48;02:58;20.27;01:02:37;03:18;03:01;19.95;01:14:29;11:52;03:03;19.73;01:29:37;15:08;03:02;19.82;01:44:19;14:42;02:57;20.41;01:59:53;15:34;03:07;19.27;02:06:24;06:31;02:59;20.21
2010;M;Kebede, Tsegaye (ETH);20-24;3;2;2;2;–;02:06:43;00:15:04;15:04;03:01;19.91;00:29:33;14:29;02:54;20.71;00:44:29;14:56;03:00;20.09;00:59:17;14:48;02:58;20.27;01:02:37;03:20;03:03;19.75;01:14:28;11:51;03:03;19.76;01:29:36;15:08;03:02;19.82;01:44:19;14:43;02:57;20.39;01:59:50;15:31;03:07;19.33;02:06:43;06:53;03:09;19.13
2010;M;Lilesa, Feyisa (ETH);20-24;4;3;3;3;–;02:08:10;00:15:06;15:06;03:02;19.87;00:29:35;14:29;02:54;20.71;00:44:31;14:56;03:00;20.09;00:59:18;14:47;02:58;20.29;01:02:37;03:19;03:02;19.85;01:14:29;11:52;03:03;19.73;01:29:37;15:08;03:02;19.82;01:44:20;14:43;02:57;20.39;02:00:04;15:44;03:09;19.07;02:08:10;08:06;03:42;16.26
2010;M;Korir, Wesley (KEN);25-29;8;4;1;4;–;02:08:44;00:15:03;15:03;03:01;19.93;00:29:34;14:31;02:55;20.67;00:44:31;14:57;03:00;20.07;00:59:19;14:48;02:58;20.27;01:02:37;03:18;03:01;19.95;01:14:28;11:51;03:03;19.76;01:29:37;15:09;03:02;19.80;01:44:59;15:22;03:05;19.52;02:01:33;16:34;03:19;18.11;02:08:44;07:11;03:17;18.33
2010;M;Kipruto, Vincent (KEN);20-24;2;5;4;5;–;02:09:08;00:15:04;15:04;03:01;19.91;00:29:34;14:30;02:55;20.69;00:44:30;14:56;03:00;20.09;00:59:18;14:48;02:58;20.27;01:02:37;03:19;03:02;19.85;01:14:29;11:52;03:03;19.73;01:29:37;15:08;03:02;19.82;01:44:49;15:12;03:03;19.74;02:01:32;16:43;03:21;17.95;02:09:08;07:36;03:28;17.33
2010;M;Cheruiyot, Robert Kiprono (KEN);20-24;5;6;5;6;–;02:09:28;00:15:05;15:05;03:01;19.89;00:29:36;14:31;02:55;20.67;00:44:31;14:55;02:59;20.11;00:59:20;14:49;02:58;20.25;01:02:37;03:17;03:00;20.05;01:14:30;11:53;03:03;19.71;01:29:43;15:13;03:03;19.72;01:45:28;15:45;03:09;19.05;02:02:07;16:39;03:20;18.02;02:09:28;07:21;03:21;17.92
2010;M;Moiben, Laban (KEN);25-29;9;7;2;7;–;02:10:48;00:15:04;15:04;03:01;19.91;00:29:34;14:30;02:55;20.69;00:44:30;14:56;03:00;20.09;00:59:19;14:49;02:58;20.25;01:02:37;03:18;03:01;19.95;01:14:29;11:52;03:03;19.73;01:29:38;15:09;03:02;19.80;01:45:22;15:44;03:09;19.07;02:02:37;17:15;03:28;17.39;02:10:48;08:11;03:44;16.09
2010;M;Hartmann, Jason (USA);25-29;13;8;3;8;–;02:11:06;00:15:27;15:27;03:06;19.42;00:30:46;15:19;03:04;19.59;00:46:15;15:29;03:06;19.38;01:01:47;15:32;03:07;19.31;01:05:11;03:24;03:06;19.36;01:17:14;12:03;03:06;19.43;01:32:36;15:22;03:05;19.52;01:48:10;15:34;03:07;19.27;02:04:05;15:55;03:11;18.85;02:11:06;07:01;03:12;18.77
2010;M;Harroufi, Ridouane (MAR);25-29;10;9;4;9;–;02:13:01;00:15:26;15:26;03:06;19.44;00:30:39;15:13;03:03;19.72;00:46:05;15:26;03:06;19.44;01:01:44;15:39;03:08;19.17;01:05:11;03:27;03:09;19.08;01:17:15;12:04;03:06;19.41;01:32:57;15:42;03:09;19.11;01:48:52;15:55;03:11;18.85;02:05:25;16:33;03:19;18.13;02:13:01;07:36;03:28;17.33
2010;M;Sayenko, Mike (USA);25-29;37;10;5;10;–;02:14:27;00:15:38;15:38;03:08;19.19;00:31:19;15:41;03:09;19.13;00:47:11;15:52;03:11;18.91;01:02:58;15:47;03:10;19.01;01:06:30;03:32;03:14;18.63;01:18:52;12:22;03:11;18.94;01:34:40;15:48;03:10;18.99;01:50:51;16:11;03:15;18.54;02:07:32;16:41;03:21;17.98;02:14:27;06:55;03:10;19.04
