Jahr;Ges;Name;Age_Group;Runner_Number;Place_Gender;Place_Age_Group;Place_Overall;Start_Time_of_day;Finish_Time;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time;FK_Diff;FK_min_km;FK_kmh
2008;M;Cheruiyot, Evans (KEN);25-29;9;1;1;1;–;02:06:25;00:15:00;15:00;03:00;20.00;00:29:51;14:51;02:59;20.20;00:44:45;14:54;02:59;20.13;00:59:15;14:30;02:54;20.69;01:02:27;03:12;02:56;20.57;01:14:02;11:35;02:59;20.22;01:29:07;15:05;03:01;19.89;01:44:16;15:09;03:02;19.80;01:59:33;15:17;03:04;19.63;02:06:25;06:52;03:08;19.18
2008;M;Mandago, David (KEN);30-34;11;2;1;2;–;02:07:37;00:14:58;14:58;03:00;20.04;00:29:50;14:52;02:59;20.18;00:44:44;14:54;02:59;20.13;00:59:14;14:30;02:54;20.69;01:02:27;03:13;02:56;20.46;01:14:02;11:35;02:59;20.22;01:29:07;15:05;03:01;19.89;01:44:16;15:09;03:02;19.80;01:59:50;15:34;03:07;19.27;02:07:37;07:47;03:33;16.92
2008;M;Cherigat, Timothy (KEN);30-34;7;3;2;3;–;02:11:39;00:15:01;15:01;03:01;19.98;00:29:53;14:52;02:59;20.18;00:44:52;14:59;03:00;20.02;01:00:25;15:33;03:07;19.29;01:03:54;03:29;03:11;18.90;01:15:57;12:03;03:06;19.43;01:31:57;16:00;03:12;18.75;01:47:56;15:59;03:12;18.77;02:04:17;16:21;03:17;18.35;02:11:39;07:22;03:22;17.88
2008;M;Korir, Wesley (KEN);25-29;248;4;2;4;–;02:13:53;00:15:07;15:07;03:02;19.85;00:30:25;15:18;03:04;19.61;00:45:47;15:22;03:05;19.52;01:01:01;15:14;03:03;19.69;01:04:21;03:20;03:03;19.75;01:16:40;12:19;03:10;19.01;01:32:24;15:44;03:09;19.07;01:48:44;16:20;03:16;18.37;02:06:05;17:21;03:29;17.29;02:13:53;07:48;03:34;16.88
2008;M;Lauret, Martin (NED);35-39;17;5;1;5;–;02:15:10;00:15:30;15:30;03:06;19.35;00:31:00;15:30;03:06;19.35;00:46:47;15:47;03:10;19.01;01:02:52;16:05;03:13;18.65;01:06:21;03:29;03:11;18.90;01:18:42;12:21;03:10;18.96;01:34:53;16:11;03:15;18.54;01:51:18;16:25;03:17;18.27;02:07:52;16:34;03:19;18.11;02:15:10;07:18;03:20;18.04
2008;M;Mutai, Emmanuel (KEN);20-24;4;6;1;6;–;02:15:36;00:14:58;14:58;03:00;20.04;00:29:50;14:52;02:59;20.18;00:44:43;14:53;02:59;20.16;00:59:14;14:31;02:55;20.67;01:02:27;03:13;02:56;20.46;01:14:03;11:36;02:59;20.19;01:29:22;15:19;03:04;19.59;01:46:08;16:46;03:22;17.89;02:05:29;19:21;03:53;15.50;02:15:36;10:07;04:37;13.02
2008;M;Reneau, Mike (USA);30-34;14;7;3;7;–;02:16:20;00:16:15;16:15;03:15;18.46;00:32:24;16:09;03:14;18.58;00:48:38;16:14;03:15;18.48;01:04:50;16:12;03:15;18.52;01:08:20;03:30;03:12;18.81;01:20:49;12:29;03:12;18.76;01:37:00;16:11;03:15;18.54;01:53:11;16:11;03:15;18.54;02:09:19;16:08;03:14;18.59;02:16:20;07:01;03:12;18.77
2008;M;Kipsang, William (KEN);30-34;3;8;4;8;–;02:16:41;00:15:07;15:07;03:02;19.85;00:29:51;14:44;02:57;20.36;00:44:44;14:53;02:59;20.16;00:59:47;15:03;03:01;19.93;01:03:11;03:24;03:06;19.36;01:15:37;12:26;03:12;18.83;01:32:12;16:35;03:19;18.09;01:49:35;17:23;03:29;17.26;02:08:11;18:36;03:44;16.13;02:16:41;08:30;03:53;15.49
2008;M;Njenga, Daniel (KEN);30-34;1;9;5;9;–;02:17:33;00:14:58;14:58;03:00;20.04;00:29:52;14:54;02:59;20.13;00:44:45;14:53;02:59;20.16;01:00:10;15:25;03:05;19.46;01:03:40;03:30;03:12;18.81;01:16:37;12:57;03:20;18.08;01:33:45;17:08;03:26;17.51;01:51:24;17:39;03:32;17.00;02:09:18;17:54;03:35;16.76;02:17:33;08:15;03:46;15.96
2008;M;Limo, Richard (KEN);25-29;6;10;3;10;–;02:18:48;00:14:58;14:58;03:00;20.04;00:29:51;14:53;02:59;20.16;00:44:44;14:53;02:59;20.16;00:59:20;14:36;02:56;20.55;01:02:38;03:18;03:01;19.95;01:14:35;11:57;03:04;19.60;01:30:51;16:16;03:16;18.44;01:48:44;17:53;03:35;16.78;02:08:58;20:14;04:03;14.83;02:18:48;09:50;04:29;13.39
2008;W;Grigoryeva, Lidiya (RUS);30-34;105;1;1;23;–;02:27:17;00:18:33;18:33;03:43;16.17;00:36:32;17:59;03:36;16.68;00:54:20;17:48;03:34;16.85;01:12:12;17:52;03:35;16.79;01:16:04;03:52;03:32;17.02;01:29:02;12:58;03:20;18.06;01:46:09;17:07;03:26;17.53;02:03:06;16:57;03:24;17.70;02:19:57;16:51;03:23;17.80;02:27:17;07:20;03:21;17.96
2008;W;Biktimirova, Alevtina (RUS);25-29;107;2;1;31;–;02:29:32;00:18:33;18:33;03:43;16.17;00:36:32;17:59;03:36;16.68;00:54:19;17:47;03:34;16.87;01:12:11;17:52;03:35;16.79;01:16:03;03:52;03:32;17.02;01:29:01;12:58;03:20;18.06;01:46:09;17:08;03:26;17.51;02:03:29;17:20;03:28;17.31;02:21:42;18:13;03:39;16.47;02:29:32;07:50;03:35;16.81
2008;W;Shimahara, Kiyoko (JPN);30-34;108;3;2;35;–;02:30:19;00:18:32;18:32;03:43;16.19;00:36:32;18:00;03:36;16.67;00:54:19;17:47;03:34;16.87;01:12:12;17:53;03:35;16.78;01:16:06;03:54;03:34;16.88;01:29:45;13:39;03:30;17.16;01:47:34;17:49;03:34;16.84;02:05:12;17:38;03:32;17.01;02:22:46;17:34;03:31;17.08;02:30:19;07:33;03:27;17.44
2008;W;Tomescu Dita, Constantina (ROU);35-39;102;4;1;37;–;02:30:57;00:18:31;18:31;03:43;16.20;00:36:31;18:00;03:36;16.67;00:54:19;17:48;03:34;16.85;01:12:12;17:53;03:35;16.78;01:16:06;03:54;03:34;16.88;01:29:44;13:38;03:30;17.18;01:47:35;17:51;03:35;16.81;02:05:16;17:41;03:33;16.97;02:23:05;17:49;03:34;16.84;02:30:57;07:52;03:36;16.74
2008;W;Davila, Desiree (USA);25-29;112;5;2;41;–;02:31:33;00:18:34;18:34;03:43;16.16;00:36:32;17:58;03:36;16.70;00:54:26;17:54;03:35;16.76;01:12:28;18:02;03:37;16.64;01:16:24;03:56;03:36;16.73;01:30:30;14:06;03:37;16.61;01:48:29;17:59;03:36;16.68;02:06:01;17:32;03:31;17.11;02:23:46;17:45;03:33;16.90;02:31:33;07:47;03:33;16.92
2008;W;De Reuck, Colleen (USA);40-44;110;6;1;47;–;02:32:25;00:18:32;18:32;03:43;16.19;00:36:31;17:59;03:36;16.68;00:54:21;17:50;03:34;16.82;01:12:12;17:51;03:35;16.81;01:16:07;03:55;03:35;16.81;01:29:47;13:40;03:31;17.14;01:47:40;17:53;03:35;16.78;02:05:40;18:00;03:37;16.67;02:24:17;18:37;03:44;16.11;02:32:25;08:08;03:43;16.19
2008;W;Bekele, Bezunesh (ETH);25-29;106;7;3;49;–;02:32:41;00:18:33;18:33;03:43;16.17;00:36:32;17:59;03:36;16.68;00:54:19;17:47;03:34;16.87;01:12:11;17:52;03:35;16.79;01:16:06;03:55;03:35;16.81;01:29:20;13:14;03:24;17.70;01:47:07;17:47;03:34;16.87;02:05:21;18:14;03:39;16.45;02:24:08;18:47;03:46;15.97;02:32:41;08:33;03:54;15.40
2008;W;Higgins, Paige (USA);25-29;113;8;4;51;–;02:33:06;00:18:32;18:32;03:43;16.19;00:36:31;17:59;03:36;16.68;00:54:20;17:49;03:34;16.84;01:12:11;17:51;03:35;16.81;01:16:07;03:56;03:36;16.73;01:30:03;13:56;03:35;16.81;01:48:17;18:14;03:39;16.45;02:06:33;18:16;03:40;16.42;02:24:53;18:20;03:40;16.36;02:33:06;08:13;03:45;16.03
2008;W;O'Neill, Kate (USA);25-29;104;9;5;56;–;02:34:04;00:18:32;18:32;03:43;16.19;00:36:32;18:00;03:36;16.67;00:54:21;17:49;03:34;16.84;01:12:12;17:51;03:35;16.81;01:16:05;03:53;03:33;16.95;01:29:46;13:41;03:31;17.11;01:47:52;18:06;03:38;16.57;02:06:29;18:37;03:44;16.11;02:25:17;18:48;03:46;15.96;02:34:04;08:47;04:01;14.99
2008;W;Adere, Berhane (ETH);30-34;101;10;3;57;–;02:34:16;00:18:31;18:31;03:43;16.20;00:36:31;18:00;03:36;16.67;00:54:19;17:48;03:34;16.85;01:12:11;17:52;03:35;16.79;01:16:06;03:55;03:35;16.81;01:29:45;13:39;03:30;17.16;01:47:35;17:50;03:34;16.82;02:06:01;18:26;03:42;16.27;02:25:32;19:31;03:55;15.37;02:34:16;08:44;03:59;15.08
