Jahr;Ges;Name;Age_Group;Runner_Number;Place_Gender;Place_Age_Group;Place_Overall;Start_Time_of_day;Finish_Time;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time;FK_Diff;FK_min_km;FK_kmh
2018;M;Farah, Mo (GBR);35-39;8;1;1;1;07:30:02;02:05:11;00:14:54;14:54;02:59;20.15;00:30:11;15:17;03:04;19.62;00:45:06;14:55;02:59;20.12;00:59:53;14:47;02:58;20.30;01:03:06;03:13;02:57;20.43;01:15:20;12:14;03:09;19.14;01:29:46;14:26;02:54;20.78;01:44:17;14:31;02:55;20.68;01:58:46;14:29;02:54;20.70;02:05:11;06:25;02:56;20.55
2018;M;Bayih, Mosinet Geremew (ETH);25-29;4;2;1;2;07:30:02;02:05:24;00:14:53;14:53;02:59;20.18;00:30:11;15:18;03:04;19.60;00:45:05;14:54;02:59;20.14;00:59:51;14:46;02:58;20.32;01:03:04;03:13;02:57;20.44;01:15:18;12:14;03:09;19.12;01:29:44;14:26;02:54;20.80;01:44:16;14:32;02:55;20.64;01:58:46;14:30;02:55;20.68;02:05:24;06:38;03:01;19.90
2018;M;Osako, Suguru (JPN);25-29;10;3;2;3;07:30:02;02:05:50;00:14:53;14:53;02:59;20.17;00:30:12;15:19;03:04;19.60;00:45:07;14:55;03:00;20.10;00:59:51;14:44;02:57;20.36;01:03:04;03:13;02:57;20.41;01:15:19;12:15;03:09;19.13;01:29:46;14:27;02:54;20.75;01:44:17;14:31;02:55;20.68;01:58:59;14:42;02:57;20.40;02:05:50;06:51;03:08;19.24
2018;M;Kipkemoi, Kenneth (KEN);30-34;7;4;1;4;07:30:02;02:05:57;00:14:53;14:53;02:59;20.18;00:30:12;15:19;03:04;19.58;00:45:07;14:55;02:59;20.12;00:59:51;14:44;02:57;20.36;01:03:04;03:13;02:57;20.44;01:15:19;12:15;03:09;19.11;01:29:46;14:27;02:54;20.77;01:44:16;14:30;02:54;20.70;01:58:57;14:41;02:57;20.42;02:05:57;07:00;03:12;18.81
2018;M;Rupp, Galen (USA);30-34;1;5;2;5;07:30:02;02:06:21;00:14:52;14:52;02:59;20.18;00:30:11;15:19;03:04;19.58;00:45:06;14:55;02:59;20.11;00:59:51;14:45;02:57;20.36;01:03:04;03:13;02:56;20.46;01:15:18;12:14;03:09;19.12;01:29:45;14:27;02:54;20.77;01:44:19;14:34;02:55;20.60;01:59:22;15:03;03:01;19.92;02:06:21;06:59;03:11;18.89
2018;M;Kirui, Geoffrey (KEN);25-29;9;6;3;6;07:30:02;02:06:45;00:14:52;14:52;02:59;20.19;00:30:10;15:18;03:04;19.60;00:45:04;14:54;02:59;20.15;00:59:49;14:45;02:58;20.33;01:03:03;03:14;02:57;20.39;01:15:18;12:15;03:09;19.11;01:29:43;14:25;02:54;20.81;01:44:16;14:33;02:55;20.62;01:59:17;15:01;03:01;19.99;02:06:45;07:28;03:25;17.65
2018;M;Kirui, Abel (KEN);35-39;2;7;2;7;07:30:02;02:07:52;00:14:52;14:52;02:59;20.19;00:30:10;15:18;03:04;19.60;00:45:04;14:54;02:59;20.14;00:59:50;14:46;02:58;20.32;01:03:04;03:14;02:57;20.40;01:15:18;12:14;03:09;19.13;01:29:46;14:28;02:54;20.74;01:44:44;14:58;03:00;20.05;02:00:39;15:55;03:11;18.85;02:07:52;07:13;03:18;18.24
2018;M;Fujimoto, Taku (JPN);25-29;26;8;4;8;07:30:02;02:07:57;00:14:54;14:54;02:59;20.14;00:30:12;15:18;03:04;19.61;00:45:07;14:55;03:00;20.10;00:59:52;14:45;02:57;20.34;01:03:05;03:13;02:56;20.54;01:15:19;12:14;03:09;19.12;01:29:58;14:39;02:56;20.49;01:45:14;15:16;03:04;19.64;02:00:53;15:39;03:08;19.17;02:07:57;07:04;03:13;18.67
2018;M;Karoki, Bedan (KEN);25-29;11;9;5;9;07:30:02;02:07:59;00:14:54;14:54;02:59;20.15;00:30:10;15:16;03:04;19.64;00:45:07;14:57;03:00;20.08;00:59:52;14:45;02:58;20.33;01:03:05;03:13;02:56;20.48;01:15:19;12:14;03:09;19.15;01:29:46;14:27;02:54;20.75;01:44:34;14:48;02:58;20.28;02:00:14;15:40;03:09;19.13;02:07:59;07:45;03:32;17.02
2018;M;Legese, Birhanu (ETH);20-24;5;10;1;10;07:30:02;02:08:41;00:14:53;14:53;02:59;20.17;00:30:12;15:19;03:04;19.58;00:45:05;14:53;02:59;20.15;00:59:50;14:45;02:58;20.34;01:03:04;03:14;02:57;20.38;01:15:19;12:15;03:09;19.13;01:29:44;14:25;02:54;20.81;01:44:21;14:37;02:56;20.51;02:00:33;16:12;03:15;18.52;02:08:41;08:08;03:43;16.19
2018;W;Kosgei, Brigid (KEN);20-24;103;1;1;24;07:30:02;02:18:35;00:16:48;16:48;03:22;17.87;00:33:24;16:36;03:20;18.07;00:49:49;16:25;03:18;18.26;01:06:32;16:43;03:21;17.96;01:10:09;03:37;03:19;18.16;01:23:29;13:20;03:25;17.58;01:40:01;16:32;03:19;18.14;01:55:37;15:36;03:08;19.22;02:11:24;15:47;03:10;19.01;02:18:35;07:11;03:17;18.33
2018;W;Dereje, Roza (ETH);20-24;104;2;2;36;07:30:02;02:21:18;00:16:48;16:48;03:22;17.87;00:33:24;16:36;03:20;18.07;00:49:49;16:25;03:18;18.27;01:06:32;16:43;03:21;17.95;01:10:09;03:37;03:19;18.16;01:23:29;13:20;03:25;17.58;01:40:01;16:32;03:19;18.14;01:56:22;16:21;03:17;18.33;02:13:29;17:07;03:26;17.53;02:21:18;07:49;03:34;16.86
2018;W;Demise, Shure (ETH);20-24;107;3;3;40;07:30:02;02:22:15;00:16:47;16:47;03:22;17.88;00:33:24;16:37;03:20;18.06;00:49:50;16:26;03:18;18.27;01:06:33;16:43;03:21;17.94;01:10:10;03:37;03:18;18.20;01:23:29;13:19;03:25;17.58;01:40:01;16:32;03:19;18.15;01:56:51;16:50;03:23;17.82;02:14:23;17:32;03:31;17.12;02:22:15;07:52;03:35;16.75
2018;W;Kiplagat, Florence (KEN);30-34;105;4;1;57;07:30:02;02:26:08;00:16:47;16:47;03:22;17.88;00:33:24;16:37;03:20;18.05;00:49:50;16:26;03:18;18.27;01:06:32;16:42;03:21;17.95;01:10:10;03:38;03:19;18.17;01:23:30;13:20;03:26;17.56;01:40:05;16:35;03:19;18.09;01:58:25;18:20;03:41;16.36;02:17:32;19:07;03:50;15.69;02:26:08;08:36;03:55;15.33
2018;W;Nyaruai, Veronicah (KEN);25-29;123;5;1;104;07:30:02;02:31:34;00:16:48;16:48;03:22;17.86;00:33:25;16:37;03:20;18.05;00:50:15;16:50;03:23;17.82;01:07:23;17:08;03:26;17.51;01:11:12;03:49;03:29;17.23;01:24:55;13:43;03:31;17.08;01:42:30;17:35;03:32;17.06;02:01:02;18:32;03:43;16.19;02:21:22;20:20;04:04;14.76;02:31:34;10:12;04:40;12.90
2018;W;Crouch, Sarah (USA);25-29;113;6;2;113;07:30:02;02:32:37;00:17:59;17:59;03:36;16.68;00:35:55;17:56;03:36;16.74;00:53:31;17:36;03:32;17.04;01:11:16;17:45;03:34;16.90;01:15:10;03:54;03:33;16.91;01:29:10;14:00;03:36;16.72;01:46:52;17:42;03:33;16.95;02:05:05;18:13;03:39;16.47;02:23:46;18:41;03:45;16.06;02:32:37;08:51;04:02;14.88
2018;W;Ward, Taylor (USA);25-29;114;7;3;115;07:30:02;02:32:42;00:18:04;18:04;03:37;16.62;00:36:14;18:10;03:39;16.51;00:53:55;17:41;03:33;16.97;01:11:38;17:43;03:33;16.93;01:15:37;03:59;03:38;16.52;01:29:42;14:05;03:37;16.62;01:47:30;17:48;03:34;16.86;02:05:54;18:24;03:41;16.31;02:24:31;18:37;03:44;16.11;02:32:42;08:11;03:44;16.09
2018;W;Landau, Kate (USA);40-44;509;8;1;120;07:30:04;02:33:26;00:17:59;17:59;03:36;16.70;00:36:02;18:03;03:37;16.61;00:53:56;17:54;03:35;16.76;01:11:53;17:57;03:36;16.72;01:15:50;03:57;03:36;16.68;01:30:02;14:12;03:39;16.49;01:48:05;18:03;03:37;16.62;02:06:33;18:28;03:42;16.25;02:25:05;18:32;03:43;16.18;02:33:26;08:21;03:49;15.77
2018;W;Myrand, Melanie (CAN);30-34;119;9;2;126;07:30:02;02:34:08;00:18:00;18:00;03:36;16.67;00:35:59;17:59;03:36;16.68;00:53:58;17:59;03:36;16.69;01:11:56;17:58;03:36;16.69;01:15:54;03:58;03:37;16.61;01:30:04;14:10;03:38;16.52;01:48:09;18:05;03:38;16.59;02:06:50;18:41;03:45;16.06;02:25:43;18:53;03:47;15.89;02:34:08;08:25;03:50;15.65
2018;W;Klimek, Marci (USA);30-34;495;10;3;142;07:30:02;02:34:53;00:18:10;18:10;03:38;16.52;00:36:29;18:19;03:40;16.39;00:54:48;18:19;03:40;16.37;01:13:06;18:18;03:40;16.40;01:17:06;04:00;03:40;16.42;01:31:36;14:30;03:43;16.15;01:49:52;18:16;03:40;16.42;02:08:24;18:32;03:43;16.19;02:26:45;18:21;03:41;16.35;02:34:53;08:08;03:43;16.19
