Jahr;Ges;Place_Overall;Number_Card;Name;Age_Group;Place_Age_Group;Place_Gender;Time_net;Time_gross;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2018;M;1;3;DICKSON CHUMBA;Age Place (30-34);1;1;2:05:29;2:05:30;0:14:47;0:29:38;0:44:36;0:59:27;1:02:44;1:14:24;1:29:20;1:44:11;1:58:55;2:05:30
2018;M;2;22;YUTA SHITARA;Age Place (25-29);1;2;埼玉県／Saitama;2:06:10;0:14:51;0:29:44;0:44:36;0:59:27;1:02:43;1:14:24;1:29:20;1:44:20;1:59:31;2:06:11
2018;M;3;7;AMOS KIPRUTO;Age Place (25-29);2;3;2:06:32;2:06:33;0:14:48;0:29:38;0:44:36;0:59:28;1:02:44;1:14:24;1:29:20;1:44:12;1:59:27;2:06:33
2018;M;4;8;GIDEON KIPKETER;Age Place (25-29);3;4;2:06:46;2:06:47;0:14:47;0:29:38;0:44:37;0:59:28;1:02:44;1:14:23;1:29:20;1:44:12;1:59:35;2:06:47
2018;M;5;21;HIROTO INOUE;Age Place (25-29);4;5;長崎県／Nagasaki;2:06:53;0:14:48;0:29:38;0:44:35;0:59:27;1:02:44;1:14:24;1:29:20;1:44:15;1:59:53;2:06:54
2018;M;6;5;FEYISA LILESA;Age Place (25-29);5;6;2:07:29;2:07:30;0:14:48;0:29:38;0:44:37;0:59:28;1:02:45;1:14:25;1:29:20;1:44:15;2:00:11;2:07:30
2018;M;7;25;RYO KINAME;Age Place (25-29);6;7;長崎県／Nagasaki;2:08:07;0:14:53;0:29:51;0:45:01;1:00:14;1:03:35;1:15:13;1:30:35;1:46:12;2:01:33;2:08:08
2018;M;8;27;CHIHIRO MIYAWAKI;Age Place (25-29);7;8;愛知県／Aichi;2:08:44;0:14:52;0:29:51;0:45:01;1:00:14;1:03:35;1:15:15;1:30:35;1:46:17;2:01:55;2:08:45
2018;M;9;115;KENJI YAMAMOTO;Age Place (25-29);8;9;広島県／Hiroshima;2:08:46;0:14:53;0:29:52;0:45:02;1:00:14;1:03:35;1:15:14;1:30:34;1:46:12;2:01:54;2:08:48
2018;M;10;28;YUKI SATO;Age Place (30-34);2;10;東京都／Tokyo;2:08:57;0:14:53;0:29:52;0:45:01;1:00:14;1:03:36;1:15:15;1:30:35;1:46:12;2:01:55;2:08:58
2018;W;57;54;BIRHANE DIBABA;Age Place (20-24);14;1;2:19:50;2:19:51;0:16:38;0:33:16;0:49:59;1:06:37;1:10:19;1:23:17;1:39:52;1:56:18;2:12:40;2:19:51
2018;W;67;51;RUTI AGA;Age Place (20-24);16;2;2:21:18;2:21:19;0:16:38;0:33:16;0:49:59;1:06:37;1:10:19;1:23:17;1:39:52;1:56:18;2:13:21;2:21:19
2018;W;68;57;AMY CRAGG;Age Place (30-34);21;3;2:21:41;2:21:42;0:16:39;0:33:17;0:49:59;1:06:37;1:10:20;1:23:17;1:39:53;1:56:26;2:13:57;2:21:42
2018;W;70;53;SHURE DEMISE;Age Place (20-24);17;4;2:22:06;2:22:07;0:16:38;0:33:17;0:50:00;1:06:38;1:10:20;1:23:17;1:39:59;1:57:21;2:14:30;2:22:07
2018;W;140;55;HELAH KIPROP;Age Place (30-34);40;5;2:28:57;2:28:58;0:16:38;0:33:17;0:50:00;1:06:43;1:10:34;1:24:45;1:43:01;2:01:41;2:20:45;2:28:58
2018;W;158;207;HIROKO YOSHITOMI;Age Place (30-34);46;6;佐賀県／Saga;2:30:15;0:17:08;0:34:36;0:51:59;1:09:36;1:13:32;1:27:25;1:45:19;2:03:26;2:22:00;2:30:16
2018;W;180;203;MADOKA NAKANO;Age Place (25-29);50;7;兵庫県／Hyogo;2:31:40;0:17:43;0:35:36;0:53:41;1:11:49;1:15:44;1:29:37;1:47:54;2:05:59;2:24:00;2:31:41
2018;W;184;15051;MAO UESUGI;Age Place (20-24);40;8;千葉県／Chiba;2:31:32;0:17:36;0:34:59;0:52:29;1:10:04;1:14:00;1:27:56;1:46:07;2:04:33;2:23:32;2:31:49
2018;W;190;208;MARIE IMADA;Age Place (25-29);54;9;大阪府／Osaka;2:31:59;0:17:41;0:35:36;0:53:42;1:11:54;1:15:56;1:29:53;1:47:56;2:05:58;2:24:07;2:32:00
2018;W;220;256;MEIXIA ZHANG;Age Place (20-24);46;10;2:33:00;2:33:02;0:18:09;0:36:17;0:54:27;1:12:35;1:16:32;1:30:44;1:49:06;2:07:13;2:25:13;2:33:02
