Jahr;Ges;Place_Overall;Number_Card;Name;Age_Group;Place_Age_Group;Place_Gender;Time_net;Time_gross;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2015;M;1;5;ENDESHAW NEGESSE;Age Place(25-29);1;1;2:05:59;2:06:00;0:14:56;0:29:54;0:44:50;0:59:52;1:03:08;1:14:45;1:29:50;1:44:45;1:59:21;2:06:00
2015;M;2;3;STEPHEN KIPROTICH;Age Place(25-29);2;2;2:06:32;2:06:33;0:14:56;0:29:54;0:44:51;0:59:52;1:03:09;1:14:45;1:29:50;1:44:45;1:59:55;2:06:33
2015;M;3;4;DICKSON CHUMBA;Age Place(25-29);3;3;2:06:33;2:06:34;0:14:57;0:29:54;0:44:50;0:59:51;1:03:09;1:14:45;1:29:51;1:44:45;1:59:28;2:06:34
2015;M;4;8;SHUMI DECHASA;Age Place(25-29);4;4;2:07:19;2:07:20;0:14:57;0:29:54;0:44:49;0:59:51;1:03:09;1:14:45;1:29:50;1:44:44;2:00:21;2:07:20
2015;M;5;7;PETER SOME;Age Place(20-24);1;5;2:07:22;2:07:22;0:14:57;0:29:54;0:44:50;0:59:52;1:03:09;1:14:45;1:29:51;1:44:45;2:00:04;2:07:22
2015;M;6;6;MARKOS GENETI;Age Place(30-34);1;6;2:07:25;2:07:25;0:14:56;0:29:54;0:44:49;0:59:51;1:03:09;1:14:44;1:29:50;1:44:45;2:00:36;2:07:25
2015;M;7;28;MASATO IMAI;Age Place(30-34);2;7;2:07:38;2:07:39;0:14:59;0:29:56;0:44:51;0:59:52;1:03:10;1:14:45;1:29:50;1:44:56;2:00:37;2:07:39
2015;M;8;2;TSEGAY KEBEDE;Age Place(25-29);5;8;2:07:57;2:07:58;0:14:56;0:29:54;0:44:49;0:59:51;1:03:08;1:14:44;1:29:50;1:44:46;2:00:44;2:07:58
2015;M;9;105;HIROAKI SANO;Age Place(25-29);6;9;2:09:10;2:09:12;0:14:59;0:29:55;0:44:50;0:59:51;1:03:09;1:14:45;1:29:50;1:45:29;2:02:09;2:09:12
2015;M;10;126;BENJAMIN NDEGWA NGANDU;Age Place(20-24);2;10;2:09:17;2:09:18;0:14:59;0:29:56;0:44:51;0:59:52;1:03:09;1:14:45;1:29:51;1:45:20;2:02:13;2:09:18
2015;W;56;32;BIRHANE DIBABA;Age Place(20-24);8;1;2:23:15;2:23:15;0:16:53;0:33:44;0:50:48;1:07:59;1:11:41;1:25:09;1:42:08;1:58:43;2:15:24;2:23:15
2015;W;58;36;HELAH KIPROP;Age Place(25-29);26;2;2:24:02;2:24:03;0:16:53;0:33:44;0:50:50;1:07:59;1:11:42;1:25:08;1:42:09;1:58:47;2:16:01;2:24:03
2015;W;61;31;TIKI GELANA;Age Place(25-29);28;3;2:24:26;2:24:26;0:16:52;0:33:44;0:50:49;1:07:59;1:11:42;1:25:08;1:42:10;1:59:17;2:16:39;2:24:26
2015;W;81;43;KAPTICH SELLY CHEPYEGO;Age Place(25-29);37;4;2:26:42;2:26:43;0:16:53;0:33:44;0:50:49;1:07:59;1:11:42;1:25:08;1:42:08;1:59:06;2:17:59;2:26:43
2015;W;83;33;FLOMENA CHEYECH DANIEL;Age Place(30-34);23;5;2:26:54;2:26:54;0:16:53;0:33:45;0:50:49;1:07:58;1:11:42;1:25:08;1:42:09;1:59:23;2:18:15;2:26:54
2015;W;113;35;YESHI ESAYIAS;Age Place(25-29);47;6;2:30:14;2:30:15;0:16:56;0:33:45;0:51:01;1:08:39;1:12:34;1:26:37;1:44:42;2:03:02;2:21:51;2:30:15
2015;W;115;42;MADOKA OGI;Age Place(30-34);30;7;2:30:25;2:30:25;0:17:13;0:34:36;0:52:06;1:09:41;1:13:33;1:27:24;1:45:21;2:03:37;2:22:11;2:30:25
2015;W;158;34;ALBINA MAYOROVA;Age Place(35-39);31;8;2:34:20;2:34:21;0:17:44;0:35:42;0:53:41;1:11:47;1:15:48;1:30:01;1:48:50;2:07:31;2:26:22;2:34:21
2015;W;165;245;YUKARI ABE;Age Place(20-24);19;9;2:34:42;2:34:43;0:18:20;0:36:46;0:55:10;1:13:38;1:17:43;1:32:02;1:50:23;2:08:43;2:26:53;2:34:43
2015;W;189;203;YUMIKO KINOSHITA;Age Place(25-29);61;10;2:35:48;2:35:49;0:18:20;0:36:45;0:55:11;1:13:39;1:17:44;1:32:03;1:50:24;2:08:51;2:27:36;2:35:49
